timestamp,pair,coin,side,price,quantity,z_score
2026-03-19 11:50:07,XRP-CFX,XRP,BUY,1.4757,2715.4,-2.6741579436195315
2026-03-19 12:00:13,XRP-CFX,XRP,BUY,1.4731,2716.1,-2.6886382203928267
